Gender,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges,Churn,HasStreaming
Female,No,No,30,Yes,No,No,Two year,low,No,No
Male,No,No,35,Yes,Yes,No,One year,low,No,No
Female,No,No,10,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,1,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,22,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,Yes,Yes,7,No,No,DSL,Two year,low,No,No
Female,No,No,36,No,No,DSL,Two year,low,No,Yes
Female,Yes,Yes,34,Yes,No,No,Month-to-month,low,No,No
Male,Yes,Yes,72,Yes,Yes,DSL,Two year,high,No,No
Male,Yes,Yes,36,Yes,Yes,No,Two year,low,No,No
Female,No,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,23,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,No,32,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,Yes,Yes,71,Yes,Yes,Fiber optic,One year,high,No,No
Female,No,No,23,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Male,Yes,No,17,Yes,No,Fiber optic,One year,high,No,Yes
Male,No,No,1,Yes,No,DSL,Month-to-month,high,No,Yes
Male,Yes,Yes,12,Yes,No,No,Two year,low,No,No
Female,Yes,No,72,Yes,No,No,Two year,low,No,No
Male,No,No,1,Yes,No,No,Month-to-month,low,No,No
Male,Yes,No,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,Yes,Yes,60,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Female,Yes,Yes,61,No,No,DSL,Two year,low,No,Yes
Female,Yes,No,6,Yes,No,DSL,Month-to-month,low,No,No
Male,Yes,No,32,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,Yes,31,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,19,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,Yes,72,Yes,No,No,Two year,low,No,No
Female,No,No,32,Yes,Yes,DSL,Month-to-month,low,No,No
Male,Yes,No,65,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,Yes,45,No,No,DSL,Month-to-month,low,No,Yes
Male,No,No,42,Yes,Yes,No,One year,low,No,No
Male,No,No,8,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Male,No,Yes,32,Yes,No,No,Two year,low,No,No
Female,Yes,No,22,Yes,Yes,DSL,Month-to-month,high,No,No
Male,Yes,No,57,No,No,DSL,Month-to-month,low,Yes,Yes
Male,No,No,1,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,1,Yes,No,DSL,Month-to-month,low,Yes,No
Female,Yes,No,1,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,24,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,1,Yes,No,No,Month-to-month,low,Yes,No
Male,No,No,54,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,4,Yes,Yes,No,Two year,low,No,No
Male,Yes,Yes,65,Yes,Yes,Fiber optic,Two year,high,Yes,Yes
Female,Yes,No,56,Yes,Yes,No,One year,low,No,No
Male,No,No,45,Yes,No,DSL,Month-to-month,high,No,Yes
Female,Yes,Yes,71,Yes,No,No,Two year,low,No,No
Male,Yes,No,59,Yes,No,DSL,One year,high,No,Yes
Male,No,No,69,No,No,DSL,One year,low,No,No
Male,No,No,19,Yes,No,No,One year,low,No,No
Female,Yes,Yes,55,Yes,No,No,Two year,low,No,No
Female,No,No,38,Yes,No,No,One year,low,No,No
Male,No,No,10,Yes,No,DSL,Month-to-month,low,Yes,No
Female,Yes,No,47,Yes,Yes,DSL,Month-to-month,high,No,No
Female,Yes,No,2,No,No,DSL,Month-to-month,low,Yes,Yes
Male,No,No,1,Yes,No,DSL,Month-to-month,low,Yes,No
Female,No,No,1,Yes,No,DSL,Month-to-month,low,Yes,No
Male,No,No,1,No,No,DSL,Month-to-month,low,Yes,Yes
Male,Yes,Yes,46,Yes,No,No,Two year,low,No,No
Female,No,No,38,Yes,No,DSL,Month-to-month,low,Yes,No
Female,Yes,No,65,Yes,No,DSL,Two year,low,No,No
Female,Yes,No,19,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,No,No,52,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,71,Yes,No,No,Two year,low,No,No
Female,No,No,1,Yes,No,DSL,Month-to-month,low,Yes,No
Female,No,No,52,No,No,DSL,Month-to-month,low,No,Yes
Male,Yes,No,6,Yes,Yes,No,One year,low,No,No
Female,Yes,No,26,Yes,No,DSL,One year,high,No,Yes
Male,No,No,48,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,Yes,Yes,64,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,No,No,3,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,1,Yes,No,DSL,Month-to-month,low,No,No
Male,Yes,Yes,72,Yes,Yes,No,Two year,low,No,No
Male,No,No,1,Yes,No,DSL,Month-to-month,low,No,No
Female,Yes,Yes,51,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,Yes,41,Yes,No,No,Two year,low,No,No
Female,Yes,Yes,72,Yes,No,DSL,Two year,high,No,Yes
Female,Yes,No,43,Yes,Yes,DSL,Two year,high,No,Yes
Male,Yes,No,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,Yes,No,47,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,No,No,72,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,3,Yes,No,No,Month-to-month,low,No,No
Male,No,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,No,No,2,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,26,No,No,DSL,Month-to-month,low,No,Yes
Male,Yes,Yes,29,Yes,No,DSL,Month-to-month,high,No,Yes
Female,Yes,No,35,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,27,Yes,No,DSL,One year,low,No,No
Male,Yes,Yes,24,Yes,No,DSL,Month-to-month,high,No,Yes
Male,Yes,Yes,67,Yes,No,DSL,Two year,high,No,No
Female,No,No,16,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,23,Yes,No,DSL,One year,low,No,No
Male,No,No,14,No,No,DSL,Month-to-month,low,No,No
Female,Yes,Yes,1,Yes,No,No,Month-to-month,low,Yes,No
Female,No,No,1,Yes,No,DSL,Month-to-month,low,Yes,No
Male,No,No,4,No,No,DSL,Month-to-month,low,No,Yes
Male,No,Yes,16,Yes,Yes,DSL,Month-to-month,high,No,Yes
Female,Yes,No,46,No,No,DSL,Month-to-month,low,No,Yes
Male,No,Yes,68,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,38,Yes,Yes,DSL,Month-to-month,high,No,No
Male,Yes,No,30,Yes,No,DSL,Month-to-month,low,Yes,No
Female,No,No,5,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,17,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,Yes,4,Yes,No,No,Two year,low,No,No
Female,No,No,12,Yes,No,No,One year,low,No,No
Male,Yes,Yes,72,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,3,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,56,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,41,Yes,Yes,No,One year,low,No,No
Male,No,No,40,No,No,DSL,One year,low,No,No
Female,No,No,7,Yes,No,DSL,Month-to-month,high,No,Yes
Male,No,No,69,Yes,No,No,Two year,low,No,No
Male,Yes,Yes,7,Yes,No,No,One year,low,No,No
Female,Yes,Yes,5,No,No,DSL,Month-to-month,low,No,No
Female,Yes,Yes,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,Yes,Yes,44,Yes,No,No,One year,low,No,No
Female,No,No,65,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,No,No,3,Yes,Yes,DSL,Month-to-month,high,No,Yes
Male,No,No,24,Yes,No,DSL,Month-to-month,low,No,No
Female,No,No,44,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,No,72,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,24,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,1,Yes,No,DSL,Month-to-month,low,Yes,No
Male,Yes,No,22,Yes,No,No,Month-to-month,low,No,No
Male,Yes,Yes,70,Yes,Yes,DSL,Two year,high,No,Yes
Male,Yes,Yes,25,Yes,Yes,DSL,Month-to-month,high,No,Yes
Male,Yes,Yes,37,Yes,No,No,Two year,low,No,No
Female,Yes,Yes,22,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,Yes,59,Yes,Yes,DSL,Two year,high,No,Yes
Male,Yes,Yes,49,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,47,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,Yes,Yes,31,Yes,No,No,Month-to-month,low,Yes,No
Male,Yes,Yes,1,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,3,Yes,No,No,Month-to-month,low,No,No
Female,Yes,No,53,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,No,No,1,Yes,No,No,Month-to-month,low,No,No
Male,No,No,20,Yes,No,No,One year,low,No,No
Female,No,No,3,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,51,Yes,No,No,One year,low,No,No
Female,Yes,No,51,Yes,No,DSL,One year,high,No,No
Female,Yes,Yes,13,Yes,No,No,Two year,low,No,No
Female,No,No,1,Yes,No,No,Month-to-month,low,No,No
Male,No,Yes,1,Yes,No,No,Month-to-month,low,No,No
Male,No,No,63,Yes,Yes,DSL,One year,high,No,No
Male,No,No,3,Yes,No,DSL,Month-to-month,low,No,Yes
Male,No,No,46,Yes,No,No,Two year,low,No,No
Male,No,No,1,Yes,Yes,DSL,Month-to-month,low,No,No
Male,No,Yes,8,No,No,DSL,Month-to-month,low,Yes,No
Female,Yes,Yes,71,Yes,No,No,Two year,low,No,No
Male,Yes,Yes,55,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,70,Yes,Yes,Fiber optic,One year,high,No,No
Female,No,No,2,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,67,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,Yes,No,65,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,14,Yes,No,DSL,Month-to-month,low,No,No
Female,Yes,Yes,20,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,No,Yes,1,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,No,No,1,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,Yes,49,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Female,Yes,No,46,Yes,Yes,DSL,Month-to-month,low,No,No
Male,No,No,24,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Female,Yes,Yes,5,No,No,DSL,Month-to-month,low,No,No
Female,Yes,Yes,33,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Female,No,No,42,Yes,Yes,DSL,One year,high,No,No
Male,No,No,23,Yes,No,Fiber optic,One year,high,No,Yes
Male,No,No,8,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,No,No,66,Yes,No,DSL,One year,low,No,No
Male,No,No,24,Yes,No,DSL,Month-to-month,low,Yes,No
Male,No,No,24,Yes,Yes,DSL,Month-to-month,low,No,No
Male,No,No,69,Yes,Yes,DSL,One year,high,Yes,Yes
Female,No,No,53,Yes,No,Fiber optic,One year,high,No,Yes
Female,No,No,60,No,No,DSL,Two year,low,No,Yes
Female,Yes,No,7,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,20,Yes,No,No,One year,low,No,No
Female,Yes,Yes,23,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,Yes,72,Yes,No,DSL,Two year,high,No,Yes
Male,Yes,No,11,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,No,No,21,Yes,No,No,Two year,low,No,No
Male,No,No,1,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,31,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,57,Yes,No,DSL,Two year,high,No,Yes
Female,Yes,Yes,45,Yes,No,No,Two year,low,No,No
Male,No,No,10,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,No,58,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,Yes,14,Yes,No,No,Month-to-month,low,No,No
Male,Yes,No,27,Yes,Yes,DSL,One year,high,No,Yes
Female,Yes,Yes,14,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,Yes,Yes,12,No,No,DSL,Month-to-month,low,Yes,No
Female,Yes,Yes,69,Yes,Yes,Fiber optic,Two year,high,No,Yes
Female,Yes,Yes,25,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,58,Yes,Yes,Fiber optic,One year,high,Yes,Yes
Female,Yes,Yes,35,No,No,DSL,Two year,low,No,Yes
Female,No,No,16,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,45,Yes,Yes,DSL,One year,high,No,Yes
Female,No,No,17,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,Yes,1,Yes,No,DSL,Month-to-month,low,Yes,No
Male,No,No,22,Yes,No,No,One year,low,No,No
Female,No,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,Yes,67,Yes,No,DSL,Two year,high,No,Yes
Female,Yes,Yes,67,Yes,Yes,Fiber optic,Two year,high,No,Yes
Female,Yes,No,2,No,No,DSL,Month-to-month,low,Yes,Yes
Male,No,No,23,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,9,Yes,No,Fiber optic,Month-to-month,high,No,No
Female,No,No,5,Yes,No,No,Month-to-month,low,No,No
Male,No,No,54,No,No,DSL,Two year,low,No,Yes
Female,No,No,57,Yes,No,Fiber optic,Two year,high,Yes,Yes
Male,No,No,24,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,Yes,Yes,49,Yes,Yes,Fiber optic,One year,high,Yes,Yes
Male,No,No,5,Yes,Yes,DSL,Month-to-month,low,Yes,No
Male,No,No,2,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,Yes,4,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,Yes,70,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,5,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,Yes,53,Yes,Yes,DSL,Month-to-month,high,No,Yes
Female,Yes,No,47,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,Yes,31,Yes,No,No,One year,low,No,No
Male,Yes,Yes,13,Yes,No,DSL,Month-to-month,high,No,No
Female,Yes,Yes,28,Yes,Yes,DSL,Month-to-month,low,No,No
Female,No,No,10,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,38,Yes,No,No,Two year,low,No,No
Female,No,No,1,Yes,No,DSL,Month-to-month,low,Yes,No
Male,Yes,No,67,Yes,Yes,Fiber optic,One year,high,Yes,Yes
Male,Yes,No,52,Yes,No,DSL,One year,high,No,Yes
Male,Yes,Yes,62,Yes,No,Fiber optic,Two year,high,No,Yes
Female,No,No,16,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,No,5,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,No,No,12,Yes,No,Fiber optic,One year,high,No,Yes
Female,Yes,Yes,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,No,No,71,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,Yes,No,24,Yes,No,No,One year,low,No,No
Female,No,No,15,Yes,No,No,Two year,low,No,No
Male,Yes,No,67,Yes,No,Fiber optic,One year,high,Yes,Yes
Male,No,Yes,2,Yes,Yes,DSL,Month-to-month,high,No,No
Female,Yes,Yes,5,No,No,DSL,Month-to-month,low,No,No
Female,Yes,No,15,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,1,Yes,No,No,Month-to-month,low,Yes,No
Male,Yes,Yes,41,Yes,No,DSL,One year,high,No,No
Female,No,Yes,43,Yes,No,DSL,Month-to-month,high,No,Yes
Male,Yes,No,1,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Female,No,No,1,Yes,No,Fiber optic,Month-to-month,high,No,No
Female,Yes,Yes,26,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,22,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,No,71,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,7,Yes,No,No,Two year,low,No,No
Female,No,No,28,Yes,Yes,DSL,Month-to-month,high,No,No
Male,No,No,16,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,No,No,7,Yes,No,No,One year,low,No,No
Female,No,No,69,Yes,Yes,Fiber optic,Two year,high,No,Yes
Female,No,Yes,1,No,No,DSL,Month-to-month,low,No,No
Male,No,No,3,Yes,No,DSL,Month-to-month,high,No,Yes
Male,No,No,21,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,Yes,No,69,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Female,Yes,No,71,No,No,DSL,Two year,low,No,No
Female,Yes,Yes,69,Yes,No,No,Two year,low,No,No
Female,No,No,48,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,No,47,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,2,Yes,Yes,DSL,Month-to-month,low,Yes,No
Male,No,No,45,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,51,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Female,Yes,No,22,Yes,Yes,DSL,Month-to-month,high,Yes,Yes
Male,No,No,72,Yes,Yes,DSL,Two year,high,No,Yes
Male,Yes,Yes,37,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,Yes,71,Yes,Yes,DSL,Two year,high,No,Yes
Male,Yes,Yes,7,Yes,No,DSL,Month-to-month,low,Yes,No
Female,No,No,66,Yes,Yes,No,Two year,low,No,No
Male,Yes,Yes,51,Yes,No,DSL,One year,high,No,Yes
Female,Yes,Yes,30,Yes,No,No,One year,low,No,No
Female,No,No,34,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,Yes,64,Yes,Yes,No,Two year,low,No,No
Male,Yes,No,65,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,No,No,47,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,49,Yes,Yes,DSL,Month-to-month,low,Yes,No
Female,Yes,Yes,67,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,No,Yes,39,Yes,No,No,One year,low,No,No
Male,No,No,14,Yes,No,No,Month-to-month,low,No,No
Female,No,No,43,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,No,No,56,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,14,Yes,No,DSL,One year,low,No,Yes
Female,No,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,Yes,16,Yes,No,DSL,One year,low,No,No
Male,Yes,Yes,70,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,No,72,Yes,Yes,DSL,Two year,high,No,Yes
Female,Yes,Yes,23,Yes,No,Fiber optic,Month-to-month,high,No,No
Male,No,Yes,21,Yes,Yes,No,Month-to-month,low,No,No
Female,No,No,1,Yes,No,No,Month-to-month,low,Yes,No
Male,No,Yes,1,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,No,32,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,17,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,4,No,No,DSL,Month-to-month,low,Yes,No
Female,No,No,36,Yes,Yes,DSL,One year,low,No,No
Female,No,No,50,No,No,DSL,Two year,low,No,No
Female,Yes,Yes,48,No,No,DSL,Month-to-month,low,No,No
Female,No,Yes,50,Yes,No,No,Two year,low,No,No
Male,Yes,No,72,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,Yes,10,Yes,Yes,No,Month-to-month,low,No,No
Female,No,No,18,Yes,No,No,Month-to-month,low,No,No
Male,No,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,1,Yes,No,No,Month-to-month,low,Yes,No
Male,No,No,9,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,2,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,Yes,No,40,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Male,Yes,No,69,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,Yes,No,37,Yes,Yes,Fiber optic,One year,high,Yes,Yes
Male,No,Yes,18,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Male,Yes,No,11,Yes,No,Fiber optic,Month-to-month,high,No,No
Female,Yes,No,8,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,3,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,Yes,55,Yes,No,DSL,One year,low,No,Yes
Male,Yes,No,33,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,46,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,34,Yes,Yes,No,Two year,low,No,No
Female,No,No,3,Yes,No,No,Month-to-month,low,No,No
Male,Yes,Yes,30,Yes,No,No,Two year,low,No,No
Female,No,No,33,Yes,Yes,DSL,One year,low,No,No
Male,Yes,Yes,45,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,No,No,40,Yes,No,DSL,Month-to-month,high,No,No
Female,No,No,71,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,No,No,1,Yes,Yes,DSL,Month-to-month,low,Yes,No
Female,Yes,Yes,72,No,No,DSL,Two year,high,No,Yes
Female,Yes,Yes,22,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,Yes,46,Yes,No,No,One year,low,No,No
Female,Yes,Yes,55,Yes,No,No,Two year,low,No,No
Male,No,No,1,Yes,No,No,Month-to-month,low,No,No
Female,No,No,12,Yes,Yes,DSL,One year,high,No,Yes
Male,No,No,31,Yes,Yes,Fiber optic,Month-to-month,high,No,No
Male,Yes,No,5,No,No,DSL,Month-to-month,low,Yes,No
Female,Yes,Yes,67,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,1,Yes,No,DSL,Month-to-month,low,No,No
Male,Yes,No,40,No,No,DSL,One year,low,Yes,No
Male,Yes,Yes,41,Yes,Yes,DSL,Month-to-month,high,No,Yes
Male,No,No,1,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Male,No,No,51,Yes,Yes,Fiber optic,One year,high,Yes,Yes
Male,Yes,Yes,42,No,No,DSL,Two year,low,No,Yes
Male,Yes,Yes,23,Yes,No,No,One year,low,No,No
Female,No,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Female,No,No,1,Yes,No,No,Month-to-month,low,No,No
Female,No,No,56,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,No,Yes,15,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,Yes,12,Yes,Yes,No,Two year,low,No,No
Female,Yes,Yes,54,Yes,No,DSL,Two year,high,No,Yes
Female,No,No,7,Yes,No,DSL,Month-to-month,high,No,Yes
Female,Yes,Yes,33,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,16,Yes,No,No,Month-to-month,low,No,No
Female,No,Yes,21,Yes,No,DSL,One year,high,No,Yes
Male,Yes,No,30,Yes,Yes,DSL,Two year,high,No,Yes
Male,No,No,3,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,11,Yes,No,Fiber optic,Month-to-month,high,No,No
Female,No,No,62,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,No,No,18,Yes,No,No,Month-to-month,low,No,No
Male,No,Yes,6,Yes,No,No,Month-to-month,low,No,No
Female,No,No,46,Yes,Yes,Fiber optic,One year,high,No,Yes
Male,No,No,21,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,No,No,68,Yes,Yes,No,Two year,low,No,No
Female,No,No,1,Yes,Yes,DSL,Month-to-month,low,No,No
Female,Yes,No,25,Yes,No,Fiber optic,Month-to-month,high,No,No
Female,No,Yes,24,Yes,No,No,Two year,low,No,No
Female,Yes,No,30,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Female,No,No,2,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,51,Yes,Yes,Fiber optic,One year,high,No,Yes
Female,Yes,Yes,57,Yes,Yes,DSL,Two year,high,No,Yes
Female,No,No,15,Yes,Yes,No,Two year,low,No,No
Female,Yes,Yes,72,Yes,No,DSL,Two year,high,No,Yes
Female,No,No,2,Yes,No,Fiber optic,Month-to-month,high,Yes,No
Male,Yes,No,28,Yes,Yes,Fiber optic,Month-to-month,high,No,Yes
Male,Yes,No,29,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,70,Yes,No,Fiber optic,Two year,high,No,Yes
Female,No,No,13,Yes,No,No,One year,low,No,No
Female,Yes,No,59,Yes,Yes,Fiber optic,One year,high,No,No
Male,Yes,No,13,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,7,Yes,Yes,Fiber optic,Month-to-month,high,Yes,No
Female,Yes,No,62,Yes,No,DSL,Two year,high,No,Yes
Female,No,No,21,Yes,No,DSL,One year,high,No,No
Female,No,No,2,Yes,No,DSL,Month-to-month,high,No,Yes
Female,No,No,1,Yes,No,DSL,Month-to-month,low,No,No
Male,No,No,4,Yes,No,Fiber optic,Month-to-month,high,No,Yes
Female,No,No,19,Yes,No,No,One year,low,No,No
Female,No,No,30,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,67,Yes,No,No,Two year,low,No,No
Male,Yes,No,72,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,Yes,No,53,Yes,No,No,Two year,low,No,No
Female,No,No,5,Yes,No,No,One year,low,No,No
Male,Yes,No,71,Yes,No,Fiber optic,Two year,high,No,Yes
Female,Yes,Yes,50,Yes,Yes,DSL,One year,high,No,Yes
Male,Yes,Yes,56,Yes,Yes,Fiber optic,Two year,high,No,Yes
Male,No,No,2,Yes,No,DSL,Month-to-month,low,No,No
Female,No,No,2,Yes,Yes,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,Yes,24,Yes,Yes,DSL,Month-to-month,low,Yes,No
Male,Yes,Yes,46,Yes,No,No,Two year,low,No,No
Male,Yes,No,71,Yes,Yes,Fiber optic,Two year,high,No,Yes
Female,No,No,29,No,No,DSL,Month-to-month,low,No,No
Male,Yes,Yes,69,Yes,Yes,No,Two year,low,No,No
Male,Yes,No,71,Yes,Yes,DSL,Two year,high,No,Yes
Female,No,No,1,Yes,No,Fiber optic,Month-to-month,high,Yes,Yes
Male,Yes,No,56,Yes,No,DSL,Two year,high,No,Yes
Male,No,Yes,56,Yes,No,No,One year,low,No,No
